lits_dosya,shape,aralik,eslesme_sayisi,bdmap_id,adaylar
liver_14.nii.gz,"(512, 512, 588)","(0.685547, 0.685547, 1.0)",1,BDMAP_00000205,
liver_69.nii.gz,"(512, 512, 245)","(0.753906, 0.753906, 2.0)",2,,BDMAP_00000480;BDMAP_00002392
liver_77.nii.gz,"(512, 512, 94)","(0.781, 0.781, 5.0)",2,,BDMAP_00000247;BDMAP_00002282
liver_120.nii.gz,"(512, 512, 424)","(0.744141, 0.744141, 1.5)",2,,BDMAP_00004830;BDMAP_00004855
liver_18.nii.gz,"(512, 512, 845)","(0.921875, 0.921875, 0.8)",1,BDMAP_00003482,
liver_65.nii.gz,"(512, 512, 513)","(0.625, 0.625, 0.79895)",2,,BDMAP_00002748;BDMAP_00004236
liver_30.nii.gz,"(512, 512, 200)","(1.0, 1.0, 1.0)",2,,BDMAP_00003626;BDMAP_00003798
liver_116.nii.gz,"(512, 512, 908)","(0.789062, 0.789062, 0.7)",2,,BDMAP_00001055;BDMAP_00001079
liver_108.nii.gz,"(512, 512, 856)","(0.729, 0.729, 0.8)",2,,BDMAP_00001025;BDMAP_00004108
liver_53.nii.gz,"(512, 512, 105)","(0.85, 0.85, 4.0)",2,,BDMAP_00001619;BDMAP_00001802
liver_22.nii.gz,"(512, 512, 247)","(0.976562, 0.976562, 3.27)",1,BDMAP_00001962,
liver_104.nii.gz,"(512, 512, 781)","(0.781, 0.781, 0.8)",2,,BDMAP_00001343;BDMAP_00002381
liver_41.nii.gz,"(512, 512, 113)","(1.0, 1.0, 1.0)",2,,BDMAP_00002373;BDMAP_00005119
liver_96.nii.gz,"(512, 512, 722)","(0.746094, 0.746094, 0.7)",2,,BDMAP_00001699;BDMAP_00003569
liver_88.nii.gz,"(512, 512, 811)","(0.756, 0.756, 0.8)",2,,BDMAP_00003170;BDMAP_00005130
liver_84.nii.gz,"(512, 512, 733)","(0.757812, 0.757812, 0.7)",2,,BDMAP_00003704;BDMAP_00003857
liver_1.nii.gz,"(512, 512, 123)","(0.675781, 0.675781, 5.0)",1,BDMAP_00005083,
liver_98.nii.gz,"(512, 512, 645)","(0.734375, 0.734375, 0.7)",2,,BDMAP_00002717;BDMAP_00004991
liver_86.nii.gz,"(512, 512, 647)","(0.683594, 0.683594, 0.7)",2,,BDMAP_00000292;BDMAP_00000745
liver_94.nii.gz,"(512, 512, 917)","(0.837891, 0.837891, 0.7)",2,,BDMAP_00003361;BDMAP_00004869
liver_3.nii.gz,"(512, 512, 534)","(0.693359, 0.693359, 1.0)",1,BDMAP_00001697,
liver_67.nii.gz,"(512, 512, 165)","(0.710938, 0.710938, 2.5)",2,,BDMAP_00002856;BDMAP_00004667
liver_122.nii.gz,"(512, 512, 422)","(0.689453, 0.689453, 1.5)",2,,BDMAP_00002289;BDMAP_00002797
